symbol,horizon,horizon_h,q_long,q_short,window,test_auc,best_iter,n_trades,n_long,n_short,win_rate,avg_ret_pct,pnl_pct,sharpe
ETH/USDT,6,0.5,90,10,1,0.5142,83,143,68,75,0.3147,-0.171,-24.4578,-0.3114
ETH/USDT,6,0.5,85,15,1,0.5142,83,188,87,101,0.3138,-0.1681,-31.6121,-0.3149
ETH/USDT,6,0.5,80,20,1,0.5142,83,225,107,118,0.28,-0.1858,-41.8114,-0.3608
ETH/USDT,6,0.5,90,10,2,0.5355,17,146,76,70,0.3767,-0.1364,-19.9073,-0.2956
ETH/USDT,6,0.5,85,15,2,0.5355,17,190,96,94,0.3474,-0.1402,-26.6293,-0.3077
ETH/USDT,6,0.5,80,20,2,0.5355,17,224,113,111,0.3214,-0.1606,-35.9674,-0.3333
ETH/USDT,6,0.5,90,10,3,0.5308,22,138,70,68,0.4275,-0.0856,-11.8133,-0.1695
ETH/USDT,6,0.5,85,15,3,0.5308,22,183,88,95,0.3825,-0.127,-23.2467,-0.2266
ETH/USDT,6,0.5,80,20,3,0.5308,22,212,102,110,0.3679,-0.155,-32.8653,-0.2764
ETH/USDT,6,0.5,90,10,4,0.5012,1,106,59,47,0.4151,-0.0787,-8.339,-0.0986
ETH/USDT,6,0.5,85,15,4,0.5012,1,125,75,50,0.408,-0.0896,-11.1983,-0.1273
ETH/USDT,6,0.5,80,20,4,0.5012,1,141,87,54,0.3617,-0.1182,-16.6717,-0.1781
ETH/USDT,12,1.0,90,10,1,0.5171,20,73,36,37,0.3014,-0.1757,-12.8247,-0.305
ETH/USDT,12,1.0,85,15,1,0.5171,20,93,47,46,0.3011,-0.2215,-20.6041,-0.327
ETH/USDT,12,1.0,80,20,1,0.5171,20,107,55,52,0.2804,-0.2424,-25.9323,-0.3399
ETH/USDT,12,1.0,90,10,2,0.5395,106,77,45,32,0.4026,-0.165,-12.7047,-0.2446
ETH/USDT,12,1.0,85,15,2,0.5395,106,93,49,44,0.3871,-0.2045,-19.0217,-0.3082
ETH/USDT,12,1.0,80,20,2,0.5395,106,106,57,49,0.3962,-0.1807,-19.1537,-0.2721
ETH/USDT,12,1.0,90,10,3,0.537,4,70,36,34,0.3714,-0.1708,-11.9564,-0.262
ETH/USDT,12,1.0,85,15,3,0.537,4,94,49,45,0.383,-0.1615,-15.1852,-0.2352
ETH/USDT,12,1.0,80,20,3,0.537,4,106,54,52,0.4057,-0.1183,-12.5357,-0.1735
