symbol,horizon,horizon_h,q_long,q_short,test_auc,n_trades,n_long,n_short,win_rate,avg_ret_pct,pnl_pct,sharpe,n_windows,pnl_positive,consistency
AVAX/USDT,6,0.5,80,20,0.516825,788,377,411,0.37777499999999997,-0.17402499999999999,-135.7377,-0.275275,4,0,0/4
AVAX/USDT,6,0.5,85,15,0.516825,661,312,349,0.376525,-0.16895,-110.1019,-0.2653,4,0,0/4
AVAX/USDT,6,0.5,90,10,0.516825,531,255,276,0.391325,-0.175925,-90.9565,-0.266525,4,0,0/4
AVAX/USDT,12,1.0,80,20,0.545,429,212,217,0.42595,-0.14425,-62.8767,-0.15407500000000002,4,1,1/4
AVAX/USDT,12,1.0,85,15,0.545,364,185,179,0.4069,-0.167175,-61.5742,-0.175225,4,0,0/4
AVAX/USDT,12,1.0,90,10,0.545,274,140,134,0.42735,-0.19574999999999998,-50.4025,-0.1987,4,1,1/4
AVAX/USDT,36,3.0,80,20,0.516325,173,86,87,0.4737,-0.22947499999999998,-39.6793,-0.14065,4,0,0/4
AVAX/USDT,36,3.0,85,15,0.516325,155,78,77,0.48165,0.030250000000000006,5.8664999999999985,0.010675000000000004,4,2,2/4
AVAX/USDT,36,3.0,90,10,0.516325,138,67,71,0.45615,-0.10717499999999999,-15.0762,-0.07705,4,1,1/4
AVAX/USDT,72,6.0,80,20,0.486475,95,49,46,0.454175,-0.218525,-21.205199999999998,-0.12359999999999999,4,0,0/4
AVAX/USDT,72,6.0,85,15,0.486475,88,48,40,0.421775,-0.1755,-15.8705,-0.10200000000000001,4,0,0/4
AVAX/USDT,72,6.0,90,10,0.486475,81,46,35,0.4742,-0.21487500000000004,-19.3175,-0.05935000000000001,4,2,2/4
AVAX/USDT,144,12.0,80,20,0.46749999999999997,48,24,24,0.479175,0.02670000000000003,1.2824000000000009,0.01645,4,2,2/4
AVAX/USDT,144,12.0,85,15,0.46749999999999997,46,19,27,0.609875,0.330575,15.0856,0.1905,4,3,3/4
AVAX/USDT,144,12.0,90,10,0.46749999999999997,43,17,26,0.523875,0.011924999999999991,2.0463000000000013,-0.014249999999999999,4,2,2/4
AVAX/USDT,288,24.0,80,20,0.516325,25,12,13,0.601175,0.32695,7.658099999999999,0.47682499999999994,4,2,2/4
AVAX/USDT,288,24.0,85,15,0.516325,25,12,13,0.7619,0.7090500000000001,17.2295,0.638575,4,4,4/4
AVAX/USDT,288,24.0,90,10,0.516325,25,12,13,0.6726,0.0008749999999999591,0.3755000000000006,0.20687499999999998,4,3,3/4
BTC/USDT,6,0.5,80,20,0.517775,823,431,392,0.328,-0.144175,-118.6183,-0.38865,4,0,0/4
BTC/USDT,6,0.5,85,15,0.517775,701,363,338,0.323375,-0.142675,-100.4051,-0.365175,4,0,0/4
BTC/USDT,6,0.5,90,10,0.517775,565,291,274,0.33039999999999997,-0.1319,-74.8243,-0.327925,4,0,0/4
BTC/USDT,12,1.0,80,20,0.502875,430,203,227,0.33915,-0.17635,-75.9136,-0.33135,4,0,0/4
BTC/USDT,12,1.0,85,15,0.502875,369,171,198,0.33085,-0.185025,-68.5371,-0.3416,4,0,0/4
