symbol,horizon,horizon_h,q_long,q_short,window,test_auc,best_iter,n_trades,n_long,n_short,win_rate,avg_ret_pct,pnl_pct,sharpe
ETH/USDT,12,1.0,90,10,1,0.5171,20,73,36,37,0.3014,-0.1757,-12.8247,-0.305
ETH/USDT,12,1.0,80,20,1,0.5171,20,107,55,52,0.2804,-0.2424,-25.9323,-0.3399
ETH/USDT,12,1.0,90,10,2,0.5395,106,77,45,32,0.4026,-0.165,-12.7047,-0.2446
ETH/USDT,12,1.0,80,20,2,0.5395,106,106,57,49,0.3962,-0.1807,-19.1537,-0.2721
ETH/USDT,72,6.0,90,10,1,0.4048,108,21,11,10,0.381,-0.3676,-7.7206,-0.2642
ETH/USDT,72,6.0,80,20,1,0.4048,108,23,13,10,0.3043,-0.6787,-15.6106,-0.5544
ETH/USDT,72,6.0,90,10,2,0.5039,1,16,7,9,0.4375,0.2376,3.8016,0.1901
ETH/USDT,72,6.0,80,20,2,0.5039,1,20,11,9,0.35,-0.3865,-7.7299,-0.2389
ETH/USDT,288,24.0,90,10,1,0.6172,32,6,4,2,0.5,-0.2723,-1.6339,-0.0786
ETH/USDT,288,24.0,80,20,1,0.6172,32,7,6,1,0.7143,0.6688,4.6817,0.2332
ETH/USDT,288,24.0,90,10,2,0.5594,2,6,2,4,0.1667,-0.345,-2.0698,-0.1277
ETH/USDT,288,24.0,80,20,2,0.5594,2,7,3,4,0.5714,1.164,8.1482,0.5693
SOL/USDT,12,1.0,90,10,1,0.4483,6,85,47,38,0.3059,-0.2824,-24.0064,-0.3783
SOL/USDT,12,1.0,80,20,1,0.4483,6,117,58,59,0.3333,-0.2398,-28.058,-0.2978
SOL/USDT,12,1.0,90,10,2,0.4602,16,67,34,33,0.3134,-0.3514,-23.5433,-0.4725
SOL/USDT,12,1.0,80,20,2,0.4602,16,102,56,46,0.3824,-0.3158,-32.2091,-0.4389
SOL/USDT,72,6.0,90,10,1,0.4958,1,13,6,7,0.3846,-0.2351,-3.0569,-0.2095
SOL/USDT,72,6.0,80,20,1,0.4958,1,21,13,8,0.619,0.6145,12.9048,0.3472
SOL/USDT,72,6.0,90,10,2,0.4728,2,19,9,10,0.4737,-0.0686,-1.3025,-0.0358
SOL/USDT,72,6.0,80,20,2,0.4728,2,24,11,13,0.4167,-0.4559,-10.9417,-0.2894
SOL/USDT,288,24.0,90,10,1,0.4892,1,6,5,1,0.5,-0.0612,-0.3673,-0.024
SOL/USDT,288,24.0,80,20,1,0.4892,1,6,4,2,0.6667,0.9832,5.8995,0.3348
SOL/USDT,288,24.0,90,10,2,0.4152,7,6,2,4,0.6667,2.5927,15.5563,0.8265
SOL/USDT,288,24.0,80,20,2,0.4152,7,6,4,2,1.0,2.7104,16.2622,1.5047
DOGE/USDT,12,1.0,90,10,1,0.5186,1,65,32,33,0.3077,-0.2342,-15.2244,-0.3649
DOGE/USDT,12,1.0,80,20,1,0.5186,1,98,49,49,0.3776,-0.1334,-13.0703,-0.2148
DOGE/USDT,12,1.0,90,10,2,0.5343,47,80,49,31,0.35,-0.1611,-12.8877,-0.3501
DOGE/USDT,12,1.0,80,20,2,0.5343,47,113,59,54,0.3451,-0.0972,-10.983,-0.1848
DOGE/USDT,72,6.0,90,10,1,0.4486,1,19,8,11,0.3684,-0.0667,-1.2673,-0.0468
DOGE/USDT,72,6.0,80,20,1,0.4486,1,22,11,11,0.1818,-1.0602,-23.3251,-0.6622
DOGE/USDT,72,6.0,90,10,2,0.5214,1,18,12,6,0.2222,-0.3999,-7.1976,-0.3926
DOGE/USDT,72,6.0,80,20,2,0.5214,1,21,15,6,0.3333,-0.2907,-6.1037,-0.2314
DOGE/USDT,288,24.0,90,10,1,0.5681,212,6,4,2,0.1667,-0.9025,-5.4148,-0.384
DOGE/USDT,288,24.0,80,20,1,0.5681,212,7,2,5,0.4286,0.805,5.635,0.2726
DOGE/USDT,288,24.0,90,10,2,0.5819,2,7,4,3,0.7143,1.0735,7.5148,0.7197
DOGE/USDT,288,24.0,80,20,2,0.5819,2,7,4,3,0.7143,1.072,7.5038,0.7208
